İl kodu Province code		İl adı Province name	Oran Rate (%)	Değişim katsayısı Coefficient  of variation  (%)	Alt sınır Lower limit	Üst sınır Upper limit		Oran Rate (%)	Değişim katsayısı Coefficient  of variation  (%)	Alt sınır Lower limit	Üst sınır Upper limit		Oran Rate (%)	Değişim katsayısı Coefficient  of variation  (%)	Alt sınır Lower limit	Üst sınır Upper limit
39		Kırklareli	53.8	0.8	53.0	54.6		8.0	2.4	7.6	8.4		49.5	0.9	48.7	50.3
40		Kırşehir	46.6	0.9	45.7	47.4		7.3	2.6	7.0	7.7		43.1	1.0	42.3	44.0
41		Kocaeli	54.8	0.8	54.0	55.6		10.1	2.3	9.7	10.6		49.2	0.9	48.4	50.1
42		Konya	48.4	0.4	48.1	48.8		4.7	1.7	4.6	4.9		46.2	0.4	45.8	46.6
43		Kütahya	52.5	0.8	51.7	53.3		6.0	2.2	5.7	6.2		49.3	0.8	48.5	50.1
44		Malatya	54.1	0.9	53.1	55.1		7.8	3.4	7.3	8.3		49.9	1.0	48.9	50.9
45		Manisa	55.5	0.5	54.9	56.1		5.1	2.0	4.9	5.3		52.7	0.6	52.1	53.3
46		Kahramanmaraş	47.0	1.0	46.0	47.9		11.6	3.6	10.8	12.4		41.5	1.2	40.5	42.5
47		Mardin	37.4	0.7	36.9	37.9		20.6	2.7	19.5	21.6		29.7	1.1	29.0	30.3
48		Muğla	55.5	1.0	54.4	56.7		7.3	3.4	6.8	7.8		51.5	1.2	50.3	52.6
49		Muş	46.0	0.8	45.2	46.7		10.4	3.1	9.8	11.0		41.2	1.0	40.4	42.0
50		Nevşehir	50.5	1.1	49.5	51.6		6.0	4.3	5.5	6.5		47.5	1.2	46.4	48.6
51		Niğde	49.3	0.5	48.8	49.8		6.1	2.2	5.8	6.4		46.3	0.6	45.8	46.8
52		Ordu	52.2	1.3	50.9	53.5		6.1	5.3	5.5	6.8		49.0	1.4	47.6	50.3
53		Rize	51.5	1.2	50.3	52.8		6.7	4.5	6.1	7.3		48.1	1.4	46.8	49.4
54		Sakarya	54.8	0.9	53.8	55.8		9.4	3.1	8.9	10.0		49.7	1.1	48.6	50.7
55		Samsun	50.5	0.4	50.2	50.9		6.6	1.3	6.4	6.8		47.2	0.4	46.8	47.5
56		Siirt	37.5	1.6	36.3	38.7		20.5	5.4	18.3	22.6		29.8	2.4	28.4	31.2
57		Sinop	46.4	0.9	45.6	47.2		6.2	2.9	5.9	6.6		43.5	1.0	42.7	44.4
58		Sivas	49.7	0.8	48.9	50.4		10.0	2.7	9.4	10.5		44.7	0.9	43.9	45.5
59		Tekirdağ	56.7	0.9	55.7	57.6		7.2	2.6	6.8	7.6		52.6	1.0	51.6	53.6
